전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
84.6,2016-02,24,2016,180000000,2016,2,제주시,한림읍
89.88,2016-02,23,2016,175000000,2016,2,제주시,조천읍
20.14,2016-02,22,2004,53000000,2016,2,제주시,노형동
20.14,2016-02,22,2004,50000000,2016,2,제주시,노형동
31.5,2016-02,22,2001,90000000,2016,2,제주시,연동
84.71,2016-02,19,2015,179800000,2016,2,제주시,삼도이동
18.66,2016-02,18,2004,70000000,2016,2,제주시,노형동
73.87,2016-02,18,2015,225620000,2016,2,제주시,연동
84.9,2016-02,18,2012,265000000,2016,2,제주시,노형동
84.34,2016-02,18,2015,290000000,2016,2,제주시,노형동
20.14,2016-02,18,2004,88000000,2016,2,제주시,노형동
20.14,2016-02,17,2004,89000000,2016,2,제주시,노형동
21.75,2016-02,16,2011,100000000,2016,2,제주시,연동
46.2,2016-02,16,1990,107700000,2016,2,제주시,연동
21.75,2016-02,16,2011,100000000,2016,2,제주시,연동
21.75,2016-02,16,2011,100000000,2016,2,제주시,연동
84.94,2016-02,16,2013,375000000,2016,2,제주시,노형동
21.75,2016-02,16,2011,100000000,2016,2,제주시,연동
84.63,2016-02,16,2016,291600000,2016,2,제주시,아라일동
27.38,2016-02,15,2004,105000000,2016,2,제주시,연동
84.01,2016-02,15,2013,258550000,2016,2,제주시,노형동
21.75,2016-02,13,2011,100000000,2016,2,제주시,연동
25.025,2016-02,12,1994,20000000,2016,2,서귀포시,서귀동
84.06,2016-02,11,2015,237000000,2016,2,서귀포시,법환동
84.06,2016-02,11,2015,230000000,2016,2,서귀포시,법환동
108.5,2016-02,5,2013,285000000,2016,2,제주시,삼도일동
